prompt_id,prompt_language,model,response_chars
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,deepseek-chat-v3.1,476
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,deepseek-chat-v3.1,1466
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,gpt-4o,1490
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,gpt-4o,1422
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,gpt-4o,1735
issue_republican_party_united_states_Q29468__reg1,ar,gpt-4o,1655
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,gpt-4o,2122
issue_republican_party_united_states_Q29468__reg1,ar,deepseek-chat-v3.1,801
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,grok-4.3,1555
issue_republican_party_united_states_Q29468__reg2,ar,gpt-4o,1460
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,grok-4.3,1973
issue_republican_party_united_states_Q29468__reg1,ar,grok-4.3,1998
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,grok-4.3,1889
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,grok-4.3,2563
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,claude-opus-4.5,1200
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,qwen3-max,2361
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,qwen3-max,2498
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,claude-opus-4.5,1230
issue_republican_party_united_states_Q29468__reg1,ar,claude-opus-4.5,1365
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,qwen3-max,2642
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,claude-opus-4.5,1409
issue_republican_party_united_states_Q29468__bndA,ar,gpt-4o,1829
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,gpt-5.1,6847
issue_republican_party_united_states_Q29468__reg1,ar,qwen3-max,2709
issue_republican_party_united_states_Q29468__reg2,ar,claude-opus-4.5,1047
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,deepseek-chat-v3.1,5221
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,gpt-5.1,5364
issue_republican_party_united_states_Q29468__reg1,ar,gpt-5.1,6644
issue_republican_party_united_states_Q29468__bndB,ar,gpt-4o,1489
issue_republican_party_united_states_Q29468__reg2,ar,grok-4.3,2321
issue_republican_party_united_states_Q29468__bndA,ar,grok-4.3,2219
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,gpt-5.1,7668
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,qwen3-max,3950
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,claude-opus-4.5,1906
issue_gaza_genocide_Q124086054__reg1,ar,gpt-4o,1507
issue_republican_party_united_states_Q29468__reg2,ar,gpt-5.1,5761
issue_republican_party_united_states_Q29468__bndA,ar,gpt-5.1,4859
issue_gaza_genocide_Q124086054__reg2,ar,gpt-4o,1170
issue_republican_party_united_states_Q29468__bndB,ar,grok-4.3,2071
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,mistral-large-2512,3589
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,gpt-5.1,10389
issue_republican_party_united_states_Q29468__bndB,ar,qwen3-max,2139
issue_gaza_genocide_Q124086054__reg1,ar,grok-4.3,2399
issue_republican_party_united_states_Q29468__bndA,ar,qwen3-max,3140
issue_jammu_and_kashmir_union_territory_Q66278313__bndB,ar,deepseek-chat-v3.1,2168
issue_gaza_genocide_Q124086054__reg2,ar,deepseek-chat-v3.1,648
issue_republican_party_united_states_Q29468__bndA,ar,claude-opus-4.5,2150
issue_gaza_genocide_Q124086054__reg1,ar,claude-opus-4.5,1366
issue_gaza_genocide_Q124086054__bndB,ar,gpt-5.1,295
issue_gaza_genocide_Q124086054__bndA,ar,gpt-4o,2159
issue_gaza_genocide_Q124086054__bndA,ar,deepseek-chat-v3.1,2331
issue_republican_party_united_states_Q29468__reg2,ar,qwen3-max,4496
issue_gaza_genocide_Q124086054__reg2,ar,claude-opus-4.5,1315
issue_gaza_genocide_Q124086054__reg2,ar,grok-4.3,2304
issue_republican_party_united_states_Q29468__bndB,ar,gpt-5.1,5130
issue_gaza_genocide_Q124086054__reg1,ar,gpt-5.1,7648
issue_gaza_genocide_Q124086054__bndB,ar,gpt-4o,1954
issue_gaza_genocide_Q124086054__bndA,ar,grok-4.3,2077
issue_egypt_Q79__reg1,ar,gpt-4o,1692
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,ar,mistral-large-2512,4980
issue_gaza_genocide_Q124086054__reg2,ar,gpt-5.1,8268
issue_republican_party_united_states_Q29468__bndB,ar,deepseek-chat-v3.1,1440
issue_republican_party_united_states_Q29468__bndB,ar,claude-opus-4.5,2191
issue_republican_party_united_states_Q29468__reg2,ar,mistral-large-2512,4340
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,ar,mistral-large-2512,4926
issue_gaza_genocide_Q124086054__reg1,ar,qwen3-max,4024
issue_jammu_and_kashmir_union_territory_Q66278313__bndA,ar,mistral-large-2512,5303
issue_gaza_genocide_Q124086054__reg1,ar,deepseek-chat-v3.1,1346
issue_egypt_Q79__reg2,ar,gpt-4o,1542
issue_egypt_Q79__reg2,ar,deepseek-chat-v3.1,90
issue_gaza_genocide_Q124086054__bndA,ar,gpt-5.1,5974
issue_gaza_genocide_Q124086054__bndA,ar,qwen3-max,2299
issue_gaza_genocide_Q124086054__reg2,ar,qwen3-max,3742
issue_egypt_Q79__reg1,ar,deepseek-chat-v3.1,1659
issue_republican_party_united_states_Q29468__bndB,ar,mistral-large-2512,3565
issue_gaza_genocide_Q124086054__bndB,ar,grok-4.3,2360
issue_egypt_Q79__bndA,ar,gpt-4o,1630
issue_egypt_Q79__reg1,ar,grok-4.3,2219
issue_egypt_Q79__reg1,ar,claude-opus-4.5,1176
issue_republican_party_united_states_Q29468__reg1,ar,mistral-large-2512,6245
issue_gaza_genocide_Q124086054__bndA,ar,claude-opus-4.5,2092
issue_egypt_Q79__bndB,ar,gpt-4o,1556
issue_gaza_genocide_Q124086054__bndB,ar,claude-opus-4.5,1565
issue_egypt_Q79__bndA,ar,deepseek-chat-v3.1,1738
issue_republican_party_united_states_Q29468__reg2,ar,deepseek-chat-v3.1,940
issue_egypt_Q79__bndB,ar,deepseek-chat-v3.1,2372
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,gpt-4o,1172
issue_egypt_Q79__bndA,ar,gpt-5.1,1317
issue_gaza_genocide_Q124086054__bndB,ar,qwen3-max,3574
issue_egypt_Q79__bndA,ar,grok-4.3,1695
issue_egypt_Q79__reg1,ar,gpt-5.1,5972
issue_egypt_Q79__reg2,ar,grok-4.3,2744
issue_egypt_Q79__reg2,ar,claude-opus-4.5,1492
issue_egypt_Q79__bndA,ar,qwen3-max,1982
issue_egypt_Q79__reg1,ar,qwen3-max,3206
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,ar,gpt-4o,1379
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,ar,deepseek-chat-v3.1,713
issue_egypt_Q79__bndB,ar,grok-4.3,2034
issue_egypt_Q79__reg2,ar,qwen3-max,3657
issue_egypt_Q79__bndB,ar,gpt-5.1,5036
