outcome,dimension,field,quantity,estimate,n,judge_model,n_judges,point_envelope_low,point_envelope_high,note,sample,conditional,canonical_run_id
ideology,Economic,economic_left_right,share_neg2,0.005241394712010209,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_neg1,0.024673714574961016,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_zero,0.9233963730133742,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos1,0.04269903959465226,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Economic,economic_left_right,share_pos2,0.0039894781050023595,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg2,0.01616878494095125,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_neg1,0.10688257515710044,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_zero,0.7942305507816926,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos1,0.0795359214186668,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Social,social_left_right,share_pos2,0.003182167701588987,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg2,0.006705309301504745,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
ideology,Authority,authoritarian_libertarian,share_neg1,0.12468429612475967,6468,google/gemini-2.5-flash-lite,NA,NA,NA,NA,all-judge content common support (n = 6468 responses),CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
