foundation,field,scope,level,weighting,estimate,conf_low,conf_high,conf_low_battery,conf_high_battery,n,n_models,jurisdiction_caveat,nonexclusive,inference_target,conditional,canonical_run_id,krippendorff_alpha,gwet_ac1,prevalence,psa_mean,psa_min,psa_max,psa_conf_low,psa_conf_high,n_pairs,n_units_complete,reliability_statistic,reliability_note,evidence_status
Care / harm,care_harm,overall,all models,equal-model,0.49836984401766443,0.4419971799518391,0.5564437001024648,0.44998586537213175,0.546753822663197,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.6997446941896444,0.69839,0.4975147030923882,0.8503670333230532,0.821506629753752,0.8773727026212714,0.8306500070146248,0.8691176751215413,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,CN,equal-model,0.5325801381335904,0.46746003042822115,0.5962196660731289,0.48067256900983824,0.5844877072573426,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.6997446941896444,0.69839,0.4975147030923882,0.8503670333230532,0.821506629753752,0.8773727026212714,0.8306500070146248,0.8691176751215413,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,MENA,equal-model,0.5210160612392996,0.4602301972230962,0.5803617372227741,0.4719603819239403,0.5700717405546588,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.6997446941896444,0.69839,0.4975147030923882,0.8503670333230532,0.821506629753752,0.8773727026212714,0.8306500070146248,0.8691176751215413,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,India,equal-model,0.5042444821731749,0.4352443099963146,0.5693919343338313,0.4474450081754742,0.5610439561708755,589,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.6997446941896444,0.69839,0.4975147030923882,0.8503670333230532,0.821506629753752,0.8773727026212714,0.8306500070146248,0.8691176751215413,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,US,equal-model,0.43836537397055214,0.37782410242887043,0.5046673027703771,0.38956495233610766,0.4871657956049966,2435,4,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.6997446941896444,0.69839,0.4975147030923882,0.8503670333230532,0.821506629753752,0.8773727026212714,0.8306500070146248,0.8691176751215413,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,EU,equal-model,0.5961538461538461,0.5352564102564102,0.6562900641025641,0.5440234233664206,0.6482842689412717,624,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.6997446941896444,0.69839,0.4975147030923882,0.8503670333230532,0.821506629753752,0.8773727026212714,0.8306500070146248,0.8691176751215413,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,overall,all models,equal-model,0.6068741925887104,0.563069148281341,0.6478084335254657,0.5698299777120402,0.6439184074653806,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.5632673736722036,0.65725,0.6757730980838559,0.8604619010704837,0.8106977767994717,0.9021019626059692,0.8412076683101568,0.8786932546877275,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,CN,equal-model,0.634387691884078,0.5842484464560416,0.681844049933034,0.5920149210915305,0.6767604626766254,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.5632673736722036,0.65725,0.6757730980838559,0.8604619010704837,0.8106977767994717,0.9021019626059692,0.8412076683101568,0.8786932546877275,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,MENA,equal-model,0.5837883224908119,0.5368569140117707,0.6291140005076968,0.5436543111686949,0.6239223338129289,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.5632673736722036,0.65725,0.6757730980838559,0.8604619010704837,0.8106977767994717,0.9021019626059692,0.8412076683101568,0.8786932546877275,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,India,equal-model,0.5823429541595926,0.5293047282073442,0.6336739739214141,0.5369670135067633,0.6277188948124218,589,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_006,0.5632673736722036,0.65725,0.6757730980838559,0.8604619010704837,0.8106977767994717,0.9021019626059692,0.8412076683101568,0.8786932546877275,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
