quantity,level,estimate,judge_model,comparison,n_rows,estimate_pp,is_canonical_judge,n_judges,canonical,envelope_min,envelope_max,envelope_width_pp,point_sign_stable,note,canonical_outcome,majority_vote_used,majority_vote_rationale,common_support,judge_coverage,annotation_error_layer,canonical_run_id,gwet_ac1,raw_agreement,psa_mean,psa_min,psa_max,n_units_complete
overall refusal rate (English),NA,0.05140442274764108,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,5.140442274764108,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,CN,0.16015624999999964,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,16.015624999999964,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,MENA,0.058693910256410145,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,5.869391025641015,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,India,0.009458989805375406,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,0.9458989805375406,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,US,-0.008867344696794382,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,-0.8867344696794381,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,EU,0,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,0,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
"paired framing (boundary - regular, complete blocks)",NA,8.672216660107971e-4,google/gemini-2.5-flash-lite,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,0.08672216660107972,TRUE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
overall refusal rate (English),NA,0.03391744690152647,google/gemma-4-31b-it,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,3.3917446901526467,FALSE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,CN,0.08623798076923067,google/gemma-4-31b-it,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,8.623798076923068,FALSE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
descriptive home - away,MENA,0.044270833333333266,google/gemma-4-31b-it,pairwise: google/gemini-2.5-flash-lite vs google/gemma-4-31b-it,27449,4.427083333333327,FALSE,NA,NA,NA,NA,NA,NA,NA,google/gemini-2.5-flash-lite,FALSE,"no human-validated labels exist, so there is no basis for treating a majority label as ground truth",every comparison uses a sample both/all judges rated; see c17c,English only; no judge-sensitivity estimate exists for the language estimand,DISABLED; draw_latent_labels() refuses to run without validation inputs,canon_009,NA,NA,NA,NA,NA,NA
