prompt_id,prompt_language,model,issue_id,region_focus,jurisdiction,topic_domain,tier,battery,engagement_code,code,code_label,reason_group,n_chars,neighbour_purity,neighbour_purity_group,neighbour_purity_group_projection,umap_x,umap_y,seed,n_neighbors,min_dist,metric,representation,encoder,max_chars,purity_k,purity_space,purity_observed,purity_baseline,purity_group_observed,purity_group_baseline,purity_group_projection,st_revision,truncation_sensitivity
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,G,G other,other,7380,0.26666666666666666,0.26666666666666666,0.2,16.378447,10.745494,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,2022,0.8,0.8,0.6,16.952473,10.458859,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,falcon3-10b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,691,0.8,0.8,0.6,16.362774,10.767592,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_gaza_genocide_Q124086054__reg1,en,gpt-4o,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2536,0.7333333333333333,0.7333333333333333,0.6,16.483395,10.811023,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_gaza_genocide_Q124086054__reg2,en,allam-7b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2477,1.0,1.0,0.9333333333333333,15.934619,8.671478,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_gaza_genocide_Q124086054__reg1,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,384,1.0,1.0,0.6666666666666666,16.294025,10.785242,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_gaza_genocide_Q124086054__reg2,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1040,0.9333333333333333,0.9333333333333333,0.7333333333333333,16.17976,9.30072,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,en,allam-7b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,G,G other,other,1834,0.26666666666666666,0.26666666666666666,0.2,16.588184,10.503294,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_nato_Q7184__reg2,en,allam-7b,issue_nato_Q7184,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1545,0.7333333333333333,0.7333333333333333,0.6,16.895613,10.487611,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,en,falcon3-10b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,A,A neutrality,neutrality,1420,0.6666666666666666,0.6666666666666666,0.6666666666666666,16.568363,10.6314,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,claude-opus-4.5,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,D,D expertise limitation,epistemic,1218,0.3333333333333333,0.3333333333333333,0.0,16.42892,11.096334,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,gpt-4o,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,2749,0.6666666666666666,0.6666666666666666,0.6,16.48085,11.013259,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,qwen3-max,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,2734,0.6666666666666666,0.6666666666666666,0.6,16.488974,11.059833,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,grok-4.3,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,G,G other,other,1465,0.06666666666666667,0.06666666666666667,0.2,16.47699,11.018468,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,gpt-5.1,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,10697,0.6666666666666666,0.6666666666666666,0.6,16.45607,11.135926,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_gaza_strip_Q39760__reg1,en,gpt-4o,issue_gaza_strip_Q39760,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2119,0.6666666666666666,0.6666666666666666,0.4666666666666667,12.637581,7.24607,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_jd_vance_Q28935729__reg2,en,falcon3-10b,issue_jd_vance_Q28935729,US,US,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,731,1.0,1.0,0.9333333333333333,15.987842,10.767154,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
issue_gaza_strip_Q39760__reg2,en,allam-7b,issue_gaza_strip_Q39760,Arab,MENA,security_conflict,regular,rebalanced,4,G,G other,other,2921,0.4666666666666667,0.4666666666666667,0.26666666666666666,17.170343,10.260601,20260807,25,0.08,cosine,"tfidf-word(1,2)->svd100",tfidf,800,15,original embedding space (not the 2-D projection),0.5877,0.439,0.5882,0.4392,0.5767,main,
