model,jurisdiction,joint,n,share,foundation,field,note,canonical_run_id
allam-7b,MENA,"engaged, foundation absent",218,0.34935897435897434,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
allam-7b,MENA,"engaged, foundation present",294,0.47115384615384615,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
allam-7b,MENA,refusal,112,0.1794871794871795,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
claude-opus-4.5,US,"engaged, foundation absent",369,0.5913461538461539,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
claude-opus-4.5,US,"engaged, foundation present",237,0.3798076923076923,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
claude-opus-4.5,US,refusal,18,0.028846153846153848,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
deepseek-chat-v3.1,CN,"engaged, foundation absent",278,0.44551282051282054,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
deepseek-chat-v3.1,CN,"engaged, foundation present",319,0.5112179487179487,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
deepseek-chat-v3.1,CN,refusal,27,0.04326923076923077,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
falcon3-10b,MENA,"engaged, foundation absent",320,0.5128205128205128,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
falcon3-10b,MENA,"engaged, foundation present",261,0.4182692307692308,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
falcon3-10b,MENA,refusal,43,0.06891025641025642,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
gpt-4o,US,"engaged, foundation absent",320,0.5136436597110754,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
gpt-4o,US,"engaged, foundation present",292,0.46869983948635635,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
gpt-4o,US,refusal,11,0.01765650080256822,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
gpt-5.1,US,"engaged, foundation absent",279,0.44711538461538464,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
gpt-5.1,US,"engaged, foundation present",326,0.5224358974358975,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
gpt-5.1,US,refusal,19,0.030448717948717948,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
grok-4.3,US,"engaged, foundation absent",400,0.6410256410256411,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
grok-4.3,US,"engaged, foundation present",212,0.33974358974358976,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
grok-4.3,US,refusal,12,0.019230769230769232,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
jais-8b,MENA,"engaged, foundation absent",279,0.44711538461538464,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
jais-8b,MENA,"engaged, foundation present",327,0.5240384615384616,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
jais-8b,MENA,refusal,18,0.028846153846153848,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
mistral-large-2512,EU,"engaged, foundation absent",252,0.40384615384615385,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
mistral-large-2512,EU,"engaged, foundation present",372,0.5961538461538461,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
qwen3-max,CN,"engaged, foundation absent",274,0.4391025641025641,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
qwen3-max,CN,"engaged, foundation present",310,0.4967948717948718,Care / harm,care_harm,refusals are a SEPARATE category and are never coded as foundation absence,canon_003
