model,prompt_language,engagement_category,n,share,n_total,exposure,note,canonical_run_id
allam-7b,ar,Full engagement,1634,0.6546474358974359,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ar,Engagement with caveats,431,0.17267628205128205,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ar,Partial engagement,15,0.006009615384615385,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ar,Soft refusal,335,0.13421474358974358,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ar,Hard refusal,81,0.03245192307692308,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,en,Full engagement,1579,0.6326121794871795,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,en,Engagement with caveats,488,0.1955128205128205,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,en,Partial engagement,3,0.001201923076923077,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,en,Soft refusal,366,0.1466346153846154,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,en,Hard refusal,60,0.02403846153846154,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,hi,Full engagement,409,0.16392785571142285,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,hi,Engagement with caveats,111,0.04448897795591182,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,hi,Partial engagement,18,0.007214428857715431,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,hi,Soft refusal,537,0.2152304609218437,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,hi,Hard refusal,1420,0.5691382765531062,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ru,Full engagement,470,0.18830128205128205,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ru,Engagement with caveats,247,0.09895833333333333,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ru,Partial engagement,62,0.024839743589743588,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ru,Soft refusal,585,0.234375,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,ru,Hard refusal,1132,0.453525641025641,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,zh,Full engagement,1099,0.44030448717948717,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,zh,Engagement with caveats,548,0.21955128205128205,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,zh,Partial engagement,47,0.018830128205128204,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,zh,Soft refusal,539,0.21594551282051283,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
allam-7b,zh,Hard refusal,263,0.10536858974358974,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ar,Full engagement,1666,0.6674679487179487,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ar,Engagement with caveats,706,0.2828525641025641,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ar,Partial engagement,72,0.028846153846153848,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ar,Soft refusal,43,0.017227564102564104,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ar,Hard refusal,9,0.003605769230769231,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,en,Full engagement,1347,0.5396634615384616,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,en,Engagement with caveats,1012,0.40544871794871795,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,en,Partial engagement,37,0.014823717948717948,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,en,Soft refusal,91,0.036458333333333336,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,en,Hard refusal,9,0.003605769230769231,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,hi,Full engagement,1714,0.686698717948718,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,hi,Engagement with caveats,530,0.21233974358974358,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,hi,Partial engagement,51,0.020432692307692308,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,hi,Soft refusal,94,0.03766025641025641,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,hi,Hard refusal,107,0.042868589743589744,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ru,Full engagement,1532,0.6137820512820513,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ru,Engagement with caveats,837,0.33533653846153844,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ru,Partial engagement,68,0.027243589743589744,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ru,Soft refusal,48,0.019230769230769232,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,ru,Hard refusal,11,0.004407051282051282,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,zh,Full engagement,1584,0.6346153846153846,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,zh,Engagement with caveats,780,0.3125,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,zh,Partial engagement,53,0.02123397435897436,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,zh,Soft refusal,66,0.026442307692307692,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
claude-opus-4.5,zh,Hard refusal,13,0.005208333333333333,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ar,Full engagement,1724,0.6907051282051282,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ar,Engagement with caveats,490,0.19631410256410256,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ar,Partial engagement,22,0.008814102564102564,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ar,Soft refusal,172,0.06891025641025642,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ar,Hard refusal,88,0.035256410256410256,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,en,Full engagement,2174,0.8709935897435898,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,en,Engagement with caveats,195,0.078125,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,en,Partial engagement,3,0.001201923076923077,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,en,Soft refusal,76,0.030448717948717948,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,en,Hard refusal,48,0.019230769230769232,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,hi,Full engagement,1829,0.7333600641539695,2494,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,hi,Engagement with caveats,471,0.1888532477947073,2494,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,hi,Partial engagement,20,0.00801924619085806,2494,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,hi,Soft refusal,121,0.04851643945469126,2494,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,hi,Hard refusal,53,0.021251002405773857,2494,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ru,Full engagement,1971,0.7896634615384616,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ru,Engagement with caveats,289,0.11578525641025642,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ru,Partial engagement,7,0.0028044871794871795,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ru,Soft refusal,88,0.035256410256410256,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,ru,Hard refusal,141,0.056490384615384616,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,zh,Full engagement,1878,0.7524038461538461,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,zh,Engagement with caveats,205,0.08213141025641026,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,zh,Partial engagement,6,0.002403846153846154,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,zh,Soft refusal,180,0.07211538461538461,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
deepseek-chat-v3.1,zh,Hard refusal,227,0.09094551282051282,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ar,Full engagement,1062,0.4254807692307692,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ar,Engagement with caveats,659,0.2640224358974359,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ar,Partial engagement,18,0.007211538461538462,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ar,Soft refusal,574,0.2299679487179487,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ar,Hard refusal,183,0.0733173076923077,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,en,Full engagement,1635,0.6550480769230769,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,en,Engagement with caveats,700,0.28044871794871795,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,en,Partial engagement,5,0.002003205128205128,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,en,Soft refusal,120,0.04807692307692308,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,en,Hard refusal,36,0.014423076923076924,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,hi,Full engagement,960,0.3847695390781563,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,hi,Engagement with caveats,735,0.29458917835671344,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,hi,Partial engagement,14,0.0056112224448897794,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,hi,Soft refusal,650,0.2605210420841683,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,hi,Hard refusal,136,0.054509018036072145,2495,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ru,Full engagement,1589,0.6366185897435898,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ru,Engagement with caveats,725,0.2904647435897436,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ru,Partial engagement,8,0.003205128205128205,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
falcon3-10b,ru,Soft refusal,150,0.06009615384615385,2496,assigned prompt_language (NOT response_language),"DESCRIPTIVE composition of the analysis sample. No hypothesis test; intervals, where shown, are issue-clustered. This is not an estimand.",canon_012
