language,outcome,model,jurisdiction,n_blocks,n_issues,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,mean_english,mean_target,mean_english_pp,mean_target_pp,interval_reliable,estimand,evidence_status,canonical_run_id
zh,genuine_refusal,allam-7b,MENA,2496,624,-0.06570512820512821,-0.07532051282051282,-0.055288461538461536,-6.570512820512821,-7.532051282051282,-5.528846153846153,0.06891025641025642,0.003205128205128205,6.891025641025641,0.3205128205128205,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,claude-opus-4.5,US,2496,624,0.008012820512820512,-0.0018129006410256404,0.01663661858974358,0.8012820512820512,-0.18129006410256404,1.663661858974358,0.04246794871794872,0.05048076923076923,4.246794871794872,5.048076923076923,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,deepseek-chat-v3.1,CN,2496,624,0.10056089743589744,0.08453525641025642,0.11540464743589741,10.056089743589745,8.453525641025642,11.540464743589741,0.03325320512820513,0.13381410256410256,3.3253205128205128,13.381410256410255,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,falcon3-10b,MENA,2489,623,-0.021695460024106068,-0.030516890691433964,-0.015062299035369785,-2.169546002410607,-3.0516890691433964,-1.5062299035369784,0.026114905584572117,0.0044194455604660505,2.611490558457212,0.44194455604660504,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,gemini-2.5-flash-lite,US,2496,624,-0.004807692307692308,-0.008413461538461538,-0.002003205128205128,-0.4807692307692308,-0.8413461538461539,-0.2003205128205128,0.007211538461538462,0.002403846153846154,0.7211538461538461,0.2403846153846154,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,glm-4.7-flash,CN,2496,624,0.01201923076923077,0.004807692307692308,0.02024238782051281,1.201923076923077,0.4807692307692308,2.024238782051281,0.012419871794871794,0.024439102564102564,1.2419871794871795,2.4439102564102564,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,gpt-4o,US,2495,624,0.0012024048096192384,-0.001604492579221821,0.004407051282051282,0.12024048096192384,-0.1604492579221821,0.4407051282051282,0.0036072144288577155,0.004809619238476954,0.36072144288577157,0.48096192384769537,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,gpt-5.1,US,2496,624,-0.008012820512820512,-0.014423076923076924,-0.001201923076923077,-0.8012820512820512,-1.4423076923076923,-0.1201923076923077,0.04366987179487179,0.03565705128205128,4.366987179487179,3.565705128205128,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,grok-4.3,US,2496,624,0.007211538461538462,8.012820512820513e-4,0.013221153846153846,0.7211538461538461,0.08012820512820512,1.3221153846153846,0.014823717948717948,0.022035256410256412,1.4823717948717947,2.203525641025641,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,hunyuan-a13b,CN,2496,624,0.05048076923076923,0.03685897435897436,0.06351161858974358,5.048076923076923,3.685897435897436,6.351161858974358,0.05889423076923077,0.109375,5.889423076923077,10.9375,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,jais-8b,MENA,2496,624,-0.005608974358974359,-0.01383213141025641,0.002403846153846154,-0.5608974358974359,-1.383213141025641,0.2403846153846154,0.026442307692307692,0.020833333333333332,2.644230769230769,2.083333333333333,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,kimi-k2.5,CN,2495,624,-0.006412825651302605,-0.022044533482923116,0.008228224693171417,-0.6412825651302605,-2.2044533482923114,0.8228224693171418,0.10300601202404809,0.09659318637274548,10.30060120240481,9.659318637274549,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,llama-4-scout,US,2496,624,-0.012419871794871794,-0.018830128205128204,-0.007211538461538462,-1.2419871794871795,-1.8830128205128205,-0.7211538461538461,0.019230769230769232,0.006810897435897436,1.9230769230769231,0.6810897435897436,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,ministral-14b,EU,2496,624,-0.00040064102564102563,-0.001201923076923077,0,-0.04006410256410256,-0.1201923076923077,0,0.00040064102564102563,0,0.04006410256410256,0,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,mistral-large-2512,EU,2496,624,-8.012820512820513e-4,-0.002003205128205128,0,-0.08012820512820512,-0.2003205128205128,0,8.012820512820513e-4,0,0.08012820512820512,0,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,nova-lite,US,2496,624,-0.0028044871794871795,-0.006009615384615385,8.012820512820513e-4,-0.28044871794871795,-0.6009615384615385,0.08012820512820512,0.007211538461538462,0.004407051282051282,0.7211538461538461,0.4407051282051282,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,qwen3-max,CN,2496,624,0.00040064102564102563,-0.006810897435897436,0.007612179487179487,0.04006410256410256,-0.6810897435897436,0.7612179487179487,0.041666666666666664,0.042067307692307696,4.166666666666666,4.206730769230769,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,genuine_refusal,sarvam-30b,India,2488,624,-0.055868167202572344,-0.06633368236168344,-0.045828686985831146,-5.586816720257234,-6.6333682361683435,-4.582868698583114,0.06189710610932476,0.006028938906752411,6.189710610932476,0.6028938906752411,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
zh,capability_failure,allam-7b,MENA,2496,624,0.5480769230769231,0.5276241987179487,0.5695212339743589,54.807692307692314,52.762419871794876,56.9521233974359,0.4050480769230769,0.953125,40.50480769230769,95.3125,TRUE,model-specific paired language minus English difference,exploratory heterogeneity; no multiplicity adjustment,canon_019
