path,file_type,tracked_status,size_bytes,scientific_role,created_by,upstream_inputs,downstream_consumers,current_status,canonical_or_supporting,reproducible,contains_unique_evidence,recommended_action,confidence,evidence,new_path,sha256_before,sha256_after
.env,secret_environment_file,ignored,1009,local credentials,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,false,sensitive,keep_ignored,high,Local secret file; never archive or commit.,,,
.gitattributes,file,tracked,514,live repository configuration or dependency specification,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,false,keep,high,Current root-level execution/configuration surface.,,e1a1d0479f23bdbaa3b963f2fddc429f8ed6a98b875f8dfc27f091b2fd2886dd,e1a1d0479f23bdbaa3b963f2fddc429f8ed6a98b875f8dfc27f091b2fd2886dd
.github/workflows/publish-refusal-observatory.yml,yaml,tracked,1776,live GitHub automation,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,true,keep_and_review_before_publication,high,Tracked workflow for the repository's documented publication surface.,,2dac9c4efa8f61abc35451bd9de6f9fbacc880053b1f16c662134478e1c43311,2dac9c4efa8f61abc35451bd9de6f9fbacc880053b1f16c662134478e1c43311
.gitignore,file,tracked,2716,live repository configuration or dependency specification,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,false,keep,high,Current root-level execution/configuration surface.,,7ee3bec5f159f042d503c8c4c73b3d3c2224027f1ff5dbee3d83232f3aeb24c1,7ee3bec5f159f042d503c8c4c73b3d3c2224027f1ff5dbee3d83232f3aeb24c1
.here,file,tracked,0,live repository configuration or dependency specification,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,false,keep,high,Current root-level execution/configuration surface.,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
CLAUDE.md,markdown,tracked,3342,current technical or reader-facing documentation,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,true,keep_and_update,high,Named current documentation surface.,,74ff32ccd5401581cc0376ec50af899efd4416759e878ab8c57bc83c6d74f85b,74ff32ccd5401581cc0376ec50af899efd4416759e878ab8c57bc83c6d74f85b
MANIFEST.md,markdown,tracked,4378,current technical or reader-facing documentation,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,true,keep_and_update,high,Named current documentation surface.,,366ca60adbe2a0350ed3bc410208252dfffaa80f37f7fda8e5b2e2cfcba6b02f,366ca60adbe2a0350ed3bc410208252dfffaa80f37f7fda8e5b2e2cfcba6b02f
Makefile,file,tracked,2167,live repository configuration or dependency specification,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,false,keep,high,Current root-level execution/configuration surface.,,4e0b3e87515cf70d6e7e2e8705cb95b0ae930f46267a02b8e084343b2fcfecac,4e0b3e87515cf70d6e7e2e8705cb95b0ae930f46267a02b8e084343b2fcfecac
README.md,markdown,tracked,7807,current technical or reader-facing documentation,unknown,unknown,none_found_by_direct_path_scan,active_supporting,true,true,true,keep_and_update,high,Named current documentation surface.,,23ff6273bcf0df866e6e18bc81bc3660234f6b8f1d239c0255bbc288ec99d046,23ff6273bcf0df866e6e18bc81bc3660234f6b8f1d239c0255bbc288ec99d046
annotations/README.md,markdown,tracked,1291,current annotation-tree retention and inclusion guide,unknown,unknown,scripts/audit_repository.py,active_supporting,true,true,true,keep_and_update,high,Current reader-facing map of response and annotation evidence. Direct path references found in 1 file(s).,,1ee992cbb15a00ea61c95c55b94a618719653b027b1e3ea2cf907a40d179daef,1ee992cbb15a00ea61c95c55b94a618719653b027b1e3ea2cf907a40d179daef
