prompt_id,prompt_language,model,issue_id,region_focus,jurisdiction,topic_domain,tier,battery,engagement_code,code,code_label,reason_group,n_chars,neighbour_purity,neighbour_purity_group,umap_x,umap_y,seed,n_neighbors,min_dist,metric,representation,purity_k,purity_observed,purity_baseline,purity_group_observed,purity_group_baseline
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,G,G other,other,7380,0.6,0.6,-0.220003,3.1977415,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,2022,0.7333333333333333,0.7333333333333333,4.282357,10.854945,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,falcon3-10b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,691,0.6666666666666666,0.6666666666666666,3.927673,9.660946,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_genocide_Q124086054__reg1,en,gpt-4o,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2536,1.0,1.0,4.313867,8.883738,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_genocide_Q124086054__reg2,en,allam-7b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2477,0.7333333333333333,0.7333333333333333,4.7738667,9.801179,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_genocide_Q124086054__reg1,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,384,1.0,1.0,4.0564976,9.310636,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_genocide_Q124086054__reg2,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1040,0.6,0.6,4.7431884,9.563319,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,en,allam-7b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,G,G other,other,1834,0.4666666666666667,0.4666666666666667,4.526772,10.700994,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_nato_Q7184__reg2,en,allam-7b,issue_nato_Q7184,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1545,0.7333333333333333,0.7333333333333333,4.1639957,10.788134,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,en,falcon3-10b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,A,A neutrality,neutrality,1420,1.0,1.0,4.148141,9.070748,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,claude-opus-4.5,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,D,D expertise limitation,epistemic,1218,0.13333333333333333,0.13333333333333333,4.0648146,7.95815,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,gpt-4o,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,2749,1.0,1.0,3.7404325,9.140669,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,qwen3-max,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,2734,0.7333333333333333,0.7333333333333333,3.7832255,8.915811,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,grok-4.3,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,G,G other,other,1465,0.0,0.0,3.788452,8.867784,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_2026_delhi_jantar_mantar_protests_Q140615137__reg1,en,gpt-5.1,issue_2026_delhi_jantar_mantar_protests_Q140615137,India,India,governance_democracy,regular,rebalanced,4,A,A neutrality,neutrality,10697,0.8666666666666667,0.8666666666666667,3.6995537,9.069697,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_strip_Q39760__reg1,en,gpt-4o,issue_gaza_strip_Q39760,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2119,0.8,0.8,4.513946,8.86668,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_jd_vance_Q28935729__reg2,en,falcon3-10b,issue_jd_vance_Q28935729,US,US,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,731,1.0,1.0,4.042242,9.329117,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_strip_Q39760__reg2,en,allam-7b,issue_gaza_strip_Q39760,Arab,MENA,security_conflict,regular,rebalanced,4,G,G other,other,2921,0.3333333333333333,0.3333333333333333,4.2993546,10.85427,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_falun_gong_Q185802__reg2,en,qwen3-max,issue_falun_gong_Q185802,China,CN,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,200,0.8666666666666667,0.8666666666666667,2.7392755,8.5919,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_falun_gong_Q185802__reg1,en,allam-7b,issue_falun_gong_Q185802,China,CN,religion_state,regular,rebalanced,4,G,G other,other,1545,0.6,0.6,4.4437575,10.941622,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_falun_gong_Q185802__reg2,en,allam-7b,issue_falun_gong_Q185802,China,CN,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,1550,0.4666666666666667,0.4666666666666667,4.470346,10.886507,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_gaza_strip_Q39760__reg1,en,falcon3-10b,issue_gaza_strip_Q39760,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1975,1.0,1.0,4.523403,8.761093,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_falun_gong_Q185802__reg1,en,falcon3-10b,issue_falun_gong_Q185802,China,CN,religion_state,regular,rebalanced,4,A,A neutrality,neutrality,714,0.8666666666666667,0.8666666666666667,3.2077076,8.987692,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,gpt-5.1,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,3822,0.7333333333333333,0.7333333333333333,3.7842464,8.979679,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,claude-opus-4.5,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,B,B complexity,epistemic,896,0.0,0.2,4.1423674,7.8909717,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,gpt-4o,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,D,D expertise limitation,epistemic,499,0.06666666666666667,0.06666666666666667,4.27465,8.21051,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,qwen3-max,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1849,0.7333333333333333,0.7333333333333333,4.1208415,8.656927,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,grok-4.3,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2176,0.6666666666666666,0.6666666666666666,3.8840568,8.784612,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,allam-7b,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2701,0.8666666666666667,0.8666666666666667,3.9412763,8.92185,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
issue_oleksandr_syrskyi_Q64737357__reg2,en,falcon3-10b,issue_oleksandr_syrskyi_Q64737357,Europe,EU,security_conflict,regular,rebalanced,5,A,A neutrality,neutrality,397,0.5333333333333333,0.5333333333333333,4.325096,7.9795227,20260807,25,0.08,cosine,"tfidf-char_wb(3,5)->svd100",15,0.5647,0.3531,0.5653,0.3531
