foundation,field,model,jurisdiction,estimate,conf_low,conf_high,conf_low_battery,conf_high_battery,conf_low_battery_unbounded,conf_high_battery_unbounded,battery_se,battery_scale,n,n_issues,degenerate_outcome,support_ok,estimable,interval_reliable,n_missing,weighting,nonexclusive,inference_target,jurisdiction_caveat,conditional,canonical_run_id
Care / harm,care_harm,deepseek-chat-v3.1,CN,0.5343383584589615,0.47167781493868455,0.5961782233955817,0.48073899016135396,0.5871563433077236,0.4809284167054922,0.5877483002124307,0.027250471016181985,"logit, mapped back to [0,1]",597,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,qwen3-max,CN,0.5308219178082192,0.47290054889157024,0.592882335524024,0.47675017421863114,0.5841795434294719,0.47689994846782946,0.5847438871486089,0.02751171438134546,"logit, mapped back to [0,1]",584,155,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,allam-7b,MENA,0.57421875,0.518769797716647,0.6329649780325339,0.5222212609187782,0.6246249607372405,0.5228410280402501,0.6255964719597499,0.026213605129997694,"logit, mapped back to [0,1]",512,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,falcon3-10b,MENA,0.44922547332185886,0.3834980168545664,0.512867164039039,0.394709200357902,0.5049894678813791,0.39386255547558735,0.5045883911681304,0.028246905699781808,"logit, mapped back to [0,1]",581,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,jais-8b,MENA,0.5396039603960396,0.46839457320520067,0.6015205691077168,0.4860086112268684,0.5922988636714323,0.4862586168100921,0.5929493039819872,0.027217512161819734,"logit, mapped back to [0,1]",606,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,sarvam-30b,India,0.5042444821731749,0.4352443099963146,0.5693919343338313,0.4476337534144583,0.5607465910311623,0.4474450081754742,0.5610439561708755,0.02897985597986884,"logit, mapped back to [0,1]",589,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,claude-opus-4.5,US,0.3910891089108911,0.3286243822075783,0.44894053305829984,0.3394751319564189,0.4452605500235541,0.3380086329762768,0.4441695848455054,0.027082373121805472,"logit, mapped back to [0,1]",606,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,gpt-4o,US,0.477124183006536,0.41332763962818786,0.5375882415763336,0.4257411155270602,0.5289960474608165,0.4253124464837539,0.5289359195293181,0.026435045200557995,"logit, mapped back to [0,1]",612,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,gpt-5.1,US,0.5388429752066116,0.46939754098360653,0.6063969760084217,0.48411395161555865,0.5926513395497702,0.4843609793087506,0.5933249711044726,0.02779744746720248,"logit, mapped back to [0,1]",605,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
Care / harm,care_harm,grok-4.3,US,0.3464052287581699,0.29319048321751495,0.40443877713159815,0.2973153651514783,0.3989980225891023,0.2954097357457616,0.3974007217705782,0.026018586777437885,"logit, mapped back to [0,1]",612,156,FALSE,TRUE,TRUE,TRUE,0,within-model (unweighted over that model's responses),"six NON-EXCLUSIVE indicators: a response may invoke several or none, so these never form a composition","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",jurisdiction is a property of the model roster; do NOT read a developer-region effect off these model comparisons,CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_012
