grouping,group,jurisdiction,n_blocks,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,interpretation,canonical_run_id
model,allam-7b,MENA,624,-0.009615384615384477,-0.03647836538461531,0.016826923076923003,-0.9615384615384477,-3.647836538461531,1.6826923076923004,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,claude-opus-4.5,US,624,-0.02884615384615384,-0.04567307692307688,-0.014423076923076933,-2.884615384615384,-4.567307692307688,-1.4423076923076932,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,deepseek-chat-v3.1,CN,624,-0.040064102564102796,-0.0568910256410257,-0.024839743589743567,-4.0064102564102795,-5.68910256410257,-2.483974358974357,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,falcon3-10b,MENA,624,-0.05608974358974357,-0.07291666666666662,-0.03605769230769222,-5.608974358974357,-7.291666666666662,-3.605769230769222,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,gpt-4o,US,624,-0.042467948717948616,-0.05490785256410255,-0.030829326923076956,-4.246794871794862,-5.490785256410255,-3.0829326923076956,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,gpt-5.1,US,624,0.052884615384615544,0.03723958333333333,0.06772836538461528,5.288461538461554,3.7239583333333335,6.7728365384615286,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,grok-4.3,US,624,0.005608974358974327,-0.007211538461538466,0.016446314102564086,0.5608974358974327,-0.7211538461538466,1.6446314102564086,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,jais-8b,MENA,624,0.040865384615384644,0.030448717948717948,0.05250400641025636,4.086538461538464,3.0448717948717947,5.250400641025636,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,mistral-large-2512,EU,624,0,0,0,0,0,0,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,qwen3-max,CN,624,0.004807692307692204,-0.013621794871794976,0.02403846153846148,0.4807692307692204,-1.3621794871794977,2.403846153846148,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
model,sarvam-30b,India,624,0.08173076923076927,0.0625,0.09897836538461534,8.173076923076927,6.25,9.897836538461533,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,civil_rights_liberties,NA,880,0.022727272727272728,0.004545454545454547,0.03977272727272728,2.272727272727273,0.4545454545454547,3.977272727272728,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,economic_policy,NA,880,-0.0125,-0.019318181818181825,-0.006250000000000001,-1.25,-1.9318181818181825,-0.6250000000000001,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,environment_energy,NA,484,-0.005165289256198348,-0.015495867768595042,0.005165289256198347,-0.5165289256198348,-1.5495867768595042,0.5165289256198348,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,governance_democracy,NA,880,-0.0346590909090909,-0.06052556818181817,-0.011065340909090927,-3.4659090909090904,-6.0525568181818175,-1.1065340909090928,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,migration_nationalism,NA,880,0.008522727272727269,-0.004275568181818182,0.024431818181818186,0.8522727272727268,-0.4275568181818182,2.443181818181819,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,religion_state,NA,704,0.034090909090909095,0.013121448863636366,0.05894886363636363,3.4090909090909096,1.3121448863636367,5.894886363636363,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,security_conflict,NA,880,-0.026136363636363638,-0.05484375,0.008252840909090892,-2.6136363636363638,-5.484375,0.8252840909090892,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,social_moral,NA,396,0.03661616161616162,0.008175505050505055,0.06691919191919192,3.661616161616162,0.8175505050505054,6.691919191919192,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
domain,territorial_sovereignty,NA,880,0.007386363636363642,-0.014502840909090906,0.027571022727272715,0.7386363636363642,-1.4502840909090906,2.7571022727272716,"paired boundary-minus-regular difference within issue x model x language; a causal reading requires the generated regular and boundary prompt variants to be exchangeable given the issue, which is an assumption about the generation template, not a randomisation",canon_003
