prompt_id,model,genuine_refusal,capability_failure,canonical_run_id
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,gpt-4o,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,qwen3-max,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,grok-4.3,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,claude-opus-4.5,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,claude-opus-4.5,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,gpt-4o,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,gpt-5.1,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,mistral-large-2512,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,falcon3-10b,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,jais-8b,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,qwen3-max,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,allam-7b,0,1,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,sarvam-30b,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,grok-4.3,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,mistral-large-2512,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,gpt-5.1,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,allam-7b,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,falcon3-10b,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,jais-8b,0,0,canon_019
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,sarvam-30b,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,claude-opus-4.5,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,gpt-4o,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,gpt-5.1,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,grok-4.3,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,qwen3-max,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,sarvam-30b,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,falcon3-10b,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,claude-opus-4.5,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,gpt-4o,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,gpt-5.1,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,qwen3-max,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,grok-4.3,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,allam-7b,0,1,canon_019
issue_republican_party_united_states_Q29468__reg1,mistral-large-2512,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,falcon3-10b,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,jais-8b,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,allam-7b,0,1,canon_019
issue_gaza_genocide_Q124086054__reg2,gpt-4o,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,mistral-large-2512,0,0,canon_019
issue_republican_party_united_states_Q29468__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,claude-opus-4.5,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,gpt-4o,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,claude-opus-4.5,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,deepseek-chat-v3.1,1,0,canon_019
issue_republican_party_united_states_Q29468__reg2,sarvam-30b,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,grok-4.3,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,qwen3-max,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,grok-4.3,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,qwen3-max,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,gpt-5.1,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,allam-7b,0,1,canon_019
issue_gaza_genocide_Q124086054__reg1,mistral-large-2512,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,gpt-5.1,0,0,canon_019
issue_egypt_Q79__reg1,gpt-4o,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,allam-7b,0,0,canon_019
issue_egypt_Q79__reg1,claude-opus-4.5,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,falcon3-10b,1,0,canon_019
issue_egypt_Q79__reg1,grok-4.3,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,mistral-large-2512,0,0,canon_019
issue_egypt_Q79__reg2,claude-opus-4.5,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_egypt_Q79__reg2,gpt-4o,0,0,canon_019
issue_egypt_Q79__reg1,qwen3-max,0,0,canon_019
issue_egypt_Q79__reg2,grok-4.3,0,0,canon_019
issue_egypt_Q79__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_egypt_Q79__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_egypt_Q79__reg2,qwen3-max,0,0,canon_019
issue_republican_party_united_states_Q29468__reg2,jais-8b,0,0,canon_019
issue_egypt_Q79__reg1,gpt-5.1,0,0,canon_019
issue_egypt_Q79__reg1,allam-7b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,gpt-4o,0,0,canon_019
issue_egypt_Q79__reg2,gpt-5.1,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,claude-opus-4.5,0,0,canon_019
issue_egypt_Q79__reg1,mistral-large-2512,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,jais-8b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,qwen3-max,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,grok-4.3,0,0,canon_019
issue_egypt_Q79__reg2,mistral-large-2512,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,gpt-5.1,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,claude-opus-4.5,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,gpt-5.1,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,gpt-4o,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,grok-4.3,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,qwen3-max,0,0,canon_019
issue_egypt_Q79__reg2,allam-7b,0,1,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,mistral-large-2512,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,jais-8b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,allam-7b,0,0,canon_019
issue_adolf_hitler_Q352__reg1,claude-opus-4.5,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,mistral-large-2512,0,0,canon_019
issue_adolf_hitler_Q352__reg1,gpt-4o,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,falcon3-10b,1,0,canon_019
issue_adolf_hitler_Q352__reg2,claude-opus-4.5,0,0,canon_019
issue_adolf_hitler_Q352__reg1,gpt-5.1,0,0,canon_019
issue_adolf_hitler_Q352__reg1,grok-4.3,0,0,canon_019
issue_adolf_hitler_Q352__reg1,qwen3-max,0,0,canon_019
issue_adolf_hitler_Q352__reg2,gpt-4o,0,0,canon_019
issue_egypt_Q79__reg1,jais-8b,0,0,canon_019
issue_adolf_hitler_Q352__reg2,grok-4.3,0,0,canon_019
issue_adolf_hitler_Q352__reg2,qwen3-max,0,0,canon_019
issue_gaza_genocide_Q124086054__reg1,sarvam-30b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,allam-7b,0,1,canon_019
issue_adolf_hitler_Q352__reg1,mistral-large-2512,0,0,canon_019
issue_adolf_hitler_Q352__reg2,gpt-5.1,0,0,canon_019
issue_egypt_Q79__reg2,jais-8b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,jais-8b,0,0,canon_019
issue_adolf_hitler_Q352__reg2,mistral-large-2512,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,jais-8b,0,0,canon_019
issue_gaza_genocide_Q124086054__reg2,sarvam-30b,0,0,canon_019
issue_adolf_hitler_Q352__reg1,allam-7b,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,claude-opus-4.5,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,gpt-4o,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_adolf_hitler_Q352__reg2,allam-7b,0,1,canon_019
issue_cryptocurrency_Q13479982__reg1,grok-4.3,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,qwen3-max,0,0,canon_019
issue_adolf_hitler_Q352__reg1,jais-8b,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,claude-opus-4.5,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,gpt-4o,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,grok-4.3,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,qwen3-max,0,0,canon_019
issue_egypt_Q79__reg1,falcon3-10b,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,gpt-5.1,0,0,canon_019
issue_adolf_hitler_Q352__reg2,jais-8b,0,0,canon_019
issue_adolf_hitler_Q352__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,mistral-large-2512,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,gpt-5.1,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,allam-7b,0,1,canon_019
issue_egypt_Q79__reg2,falcon3-10b,0,0,canon_019
issue_palestinians_Q201190__reg1,claude-opus-4.5,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,mistral-large-2512,0,0,canon_019
issue_palestinians_Q201190__reg1,grok-4.3,0,0,canon_019
issue_palestinians_Q201190__reg1,gpt-4o,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,allam-7b,0,0,canon_019
issue_adolf_hitler_Q352__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_palestinians_Q201190__reg1,qwen3-max,0,0,canon_019
issue_palestinians_Q201190__reg1,gpt-5.1,0,0,canon_019
issue_palestinians_Q201190__reg2,claude-opus-4.5,0,0,canon_019
issue_palestinians_Q201190__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_palestinians_Q201190__reg2,grok-4.3,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,jais-8b,0,0,canon_019
issue_palestinians_Q201190__reg2,gpt-4o,0,0,canon_019
issue_egypt_Q79__reg1,sarvam-30b,0,0,canon_019
issue_palestinians_Q201190__reg2,qwen3-max,0,0,canon_019
issue_palestinians_Q201190__reg1,allam-7b,0,1,canon_019
issue_palestinians_Q201190__reg2,allam-7b,0,0,canon_019
issue_palestinians_Q201190__reg2,gpt-5.1,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,jais-8b,0,0,canon_019
issue_palestinians_Q201190__reg1,mistral-large-2512,0,0,canon_019
issue_egypt_Q79__reg2,sarvam-30b,0,0,canon_019
issue_palestinians_Q201190__reg2,mistral-large-2512,0,0,canon_019
issue_palestinians_Q201190__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,gpt-4o,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,grok-4.3,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,qwen3-max,0,1,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,falcon3-10b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,falcon3-10b,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,claude-opus-4.5,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,gpt-5.1,0,0,canon_019
issue_palestinians_Q201190__reg1,jais-8b,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,gpt-4o,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,claude-opus-4.5,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,grok-4.3,0,0,canon_019
issue_palestinians_Q201190__reg2,jais-8b,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,qwen3-max,0,1,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,gpt-5.1,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,mistral-large-2512,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,allam-7b,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,allam-7b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg1,sarvam-30b,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,mistral-large-2512,0,0,canon_019
issue_adolf_hitler_Q352__reg1,falcon3-10b,0,0,canon_019
issue_nato_Q7184__reg1,gpt-5.1,0,0,canon_019
issue_nato_Q7184__reg1,claude-opus-4.5,0,0,canon_019
issue_adolf_hitler_Q352__reg2,falcon3-10b,0,0,canon_019
issue_nato_Q7184__reg1,gpt-4o,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_nato_Q7184__reg1,grok-4.3,0,0,canon_019
issue_cryptocurrency_Q13479982__reg2,falcon3-10b,0,0,canon_019
issue_cryptocurrency_Q13479982__reg1,falcon3-10b,0,0,canon_019
issue_nato_Q7184__reg2,gpt-5.1,0,0,canon_019
issue_nato_Q7184__reg1,qwen3-max,0,0,canon_019
issue_nato_Q7184__reg2,gpt-4o,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,deepseek-chat-v3.1,0,0,canon_019
issue_nato_Q7184__reg1,mistral-large-2512,0,0,canon_019
issue_nato_Q7184__reg2,grok-4.3,0,0,canon_019
issue_nato_Q7184__reg2,claude-opus-4.5,0,0,canon_019
issue_nato_Q7184__reg2,qwen3-max,0,0,canon_019
issue_nato_Q7184__reg2,deepseek-chat-v3.1,0,0,canon_019
issue_nato_Q7184__reg2,allam-7b,0,0,canon_019
issue_polish_order_of_the_white_eagle_controversy_Q140479256__reg2,sarvam-30b,0,0,canon_019
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,jais-8b,1,0,canon_019
issue_nato_Q7184__reg1,allam-7b,0,0,canon_019
