stage,script,status,purpose,external_call,documentation
S01,sourcing/01_harvest_controversial.py,frozen_reconstructable,Harvest perennial controversy candidates from configured Wikipedia editions,free_web,docs/REPRODUCIBILITY.md
S02,sourcing/02_enrich_issues.py,frozen_guarded,Enrich harvested issue records with structured metadata,paid_guarded,docs/REPRODUCIBILITY.md
S03,sourcing/03_format_prompts.py,frozen_guarded,Construct regular and boundary prompts from enriched records,paid_guarded,docs/PIPELINE.md
S04,sourcing/04_merge_editions.py,frozen_reconstructable,Merge edition-specific records on Wikidata QID,false,docs/NATIVE_SOURCING.md
S05,sourcing/05_translate_review.py,frozen_guarded,Translate the frozen battery and construct side-by-side review files,paid_guarded,docs/REPRODUCIBILITY.md
S06,sourcing/06_harvest_temporal.py,frozen_reconstructable,Harvest the temporal protection-log route,free_web,docs/TEMPORAL_SOURCING.md
S07,sourcing/07_enrich_temporal.py,frozen_guarded,Enrich temporal candidates,paid_guarded,docs/TEMPORAL_SOURCING.md
S08,sourcing/08_harvest_current_events.py,frozen_reconstructable,Harvest the current-events route,free_web,docs/PIPELINE.md
S09,sourcing/preflight_providers.py,active_local_check,Check provider credentials and model routing without a production run,network_check,docs/PIPELINE_ENTRYPOINTS.md
S10,sourcing/run_pipeline.py,frozen_orchestrator,Run perennial sourcing with paid stages opt-in,optional_guarded,docs/REPRODUCIBILITY.md
S11,sourcing/run_corrections.sh,historical_recipe_nonexecuting,Point readers to the archived stages 09 through 14 that produced the corrected frozen battery,false,docs/TECHNICAL_PIPELINE.md
S12,sourcing/run_rebalance.sh,frozen_repair_orchestrator,Rebuild the documented rebalanced battery,optional_guarded,docs/REBALANCE.md
