scope,level,n_blocks,n_issues,estimate,conf_low,conf_high,estimate_pp,conf_low_pp,conf_high_pp,model,estimand,relates_to,interpretation,bootstrap_unit,canonical_run_id
overall,all domains,2496,624,0.11338141025641026,0.09615384615384616,0.1294070512820513,11.338141025641026,9.615384615384617,12.94070512820513,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,civil_rights_liberties,320,80,0.10625,0.065625,0.15,10.625,6.5625,15,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,economic_policy,320,80,0.040625,0.0125,0.071875,4.0625,1.25,7.187499999999999,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,environment_energy,176,44,0.005681818181818182,0,0.017045454545454544,0.5681818181818182,0,1.7045454545454544,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,governance_democracy,320,80,0.125,0.075,0.17820312499999993,12.5,7.5,17.820312499999993,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,migration_nationalism,320,80,0.0625,0.028125,0.09695312499999993,6.25,2.8125,9.695312499999993,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,religion_state,256,64,0.125,0.0703125,0.1875,12.5,7.03125,18.75,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,security_conflict,320,80,0.2375,0.184375,0.2875781249999999,23.75,18.4375,28.75781249999999,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,social_moral,144,36,0.027777777777777776,0,0.0557291666666665,2.7777777777777777,0,5.57291666666665,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
by topic domain,territorial_sovereignty,320,80,0.196875,0.149921875,0.24695312499999994,19.6875,14.992187500000002,24.695312499999993,deepseek-chat-v3.1,"paired zh-minus-en difference within prompt_id, one model",identical construction to c09; reported here as a case study,"effect of delivering the tested Chinese translation of the prompt to this model; NOT the causal effect of a user's language, and NOT evidence about any other model",issue_id,canon_009
