jurisdiction,cell,n_home,n_away,n,both_arms,support_definition,canonical_run_id
CN,deepseek-chat-v3.1 | civil_rights_liberties | current-events | boundary,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | civil_rights_liberties | current-events | regular,0,8,8,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | civil_rights_liberties | perennial | boundary,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | civil_rights_liberties | perennial | regular,22,46,68,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | civil_rights_liberties | temporal | boundary,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | civil_rights_liberties | temporal | regular,0,74,74,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | economic_policy | current-events | boundary,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | economic_policy | current-events | regular,0,36,36,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | economic_policy | perennial | boundary,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | economic_policy | perennial | regular,24,26,50,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | economic_policy | temporal | boundary,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | economic_policy | temporal | regular,0,28,28,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | environment_energy | current-events | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | environment_energy | current-events | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | environment_energy | perennial | boundary,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | environment_energy | perennial | regular,2,10,12,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | environment_energy | temporal | boundary,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | environment_energy | temporal | regular,0,10,10,FALSE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | governance_democracy | current-events | boundary,2,32,34,TRUE,model x domain x route_f x tier,canon_019
CN,deepseek-chat-v3.1 | governance_democracy | current-events | regular,2,32,34,TRUE,model x domain x route_f x tier,canon_019
