model_f,refusal_justification_f,n,total,prop
GPT-5.1,Neutrality/Balance,127,307,0.41368078175895767
GPT-5.1,Harm Avoidance,147,307,0.4788273615635179
GPT-5.1,No Justification,1,307,0.003257328990228013
GPT-5.1,Other,32,307,0.10423452768729642
Claude Opus 4.5,Neutrality/Balance,22,292,0.07534246575342465
Claude Opus 4.5,Complexity/Uncertainty,1,292,0.003424657534246575
Claude Opus 4.5,Harm Avoidance,141,292,0.4828767123287671
Claude Opus 4.5,Expertise Limitation,1,292,0.003424657534246575
Claude Opus 4.5,Other,127,292,0.4349315068493151
GPT-4o,Neutrality/Balance,1,3,0.3333333333333333
GPT-4o,Harm Avoidance,1,3,0.3333333333333333
GPT-4o,No Justification,1,3,0.3333333333333333
Grok 4.3,Neutrality/Balance,29,100,0.29
Grok 4.3,Harm Avoidance,35,100,0.35
Grok 4.3,No Justification,6,100,0.06
Grok 4.3,Other,30,100,0.3
DeepSeek V3.1,Neutrality/Balance,264,466,0.5665236051502146
DeepSeek V3.1,Harm Avoidance,44,466,0.0944206008583691
DeepSeek V3.1,Expertise Limitation,4,466,0.008583690987124463
DeepSeek V3.1,No Justification,118,466,0.2532188841201717
DeepSeek V3.1,Other,36,466,0.07725321888412018
Qwen3-Max,Neutrality/Balance,157,226,0.6946902654867256
Qwen3-Max,Harm Avoidance,21,226,0.09292035398230089
Qwen3-Max,No Justification,32,226,0.1415929203539823
Qwen3-Max,Other,16,226,0.07079646017699115
ALLaM 7B,Neutrality/Balance,406,2476,0.16397415185783523
ALLaM 7B,Harm Avoidance,18,2476,0.007269789983844911
ALLaM 7B,No Justification,538,2476,0.2172859450726979
ALLaM 7B,Other,1514,2476,0.6114701130856219
Jais 8B,Neutrality/Balance,214,449,0.4766146993318486
Jais 8B,Harm Avoidance,55,449,0.12249443207126949
Jais 8B,No Justification,12,449,0.026726057906458798
Jais 8B,Other,168,449,0.3741648106904232
Falcon3 10B,Neutrality/Balance,295,770,0.38311688311688313
Falcon3 10B,Harm Avoidance,13,770,0.016883116883116882
Falcon3 10B,No Justification,30,770,0.03896103896103896
Falcon3 10B,Other,432,770,0.561038961038961
Sarvam 30B,Neutrality/Balance,172,322,0.5341614906832298
Sarvam 30B,Harm Avoidance,49,322,0.15217391304347827
Sarvam 30B,No Justification,5,322,0.015527950310559006
Sarvam 30B,Other,96,322,0.2981366459627329
