stage,script,status,scientific_purpose,inputs,outputs,paid_external_call,canonical_consumer,technical_document
01,pipeline/01_data_loading.R,active,Assemble the original and expansion response panels with frozen Luna v2.4 outcomes,full_v1 JSONL prompt metadata original final_annotations.parquet and three expansion label batches,release-scoped data_clean.RData and 00 summaries,false,all estimation stages,docs/r_pipeline/01_data_loading.md
10,pipeline/10_canonical_common.R,active,Validate the 249201-row 20-model analysis frame and define weights bootstrap support and g-computation,release-scoped data_clean.RData,shared in-memory objects and c18 diagnostics,false,11 12 15 16 17 30 40,docs/r_pipeline/10_canonical_common.md
11,pipeline/11_canonical_home.R,active,Estimate descriptive and standardized home contrasts for v2.4 outcomes,canonical response table,c02-c07 tables,false,20 and 21,docs/r_pipeline/11_canonical_home.md
12,pipeline/12_canonical_language_framing.R,active,Estimate paired language and framing contrasts for v2.4 outcomes,canonical response table,c08-c11 tables,false,20 and 21,docs/r_pipeline/12_canonical_language_framing.md
15,pipeline/15_subsample_stability.R,active,Assess issue-subsample deviation from full-data v2.4 estimands,canonical response table,c21 draw summary failure and metadata tables,false,21,docs/r_pipeline/15_subsample_stability.md
16,pipeline/16_prompt_umap.R,active,Construct one fixed prompt geometry plus outcome concentration and recurrence,frozen English embeddings and canonical response table,c22 and c22b-c22d tables,false,21 and interactive,docs/r_pipeline/16_prompt_umap.md
17,pipeline/17_response_validity.R,active,Describe final Luna v2.4 measurement components overlap and original-to-final transition,canonical response table,c23-c27 tables,false,acceptance and appendix,docs/r_pipeline/17_response_validity.md
20,pipeline/20_figures_main.R,active,Render the jurisdiction and language genuine-refusal atlases beside their matching contrasts without estimation,c02 c04 c05 c08 c09 c22 coordinates propensities and model outcomes,Fig1-Fig2 PNG files,false,paper,docs/r_pipeline/20_figures_main.md
21,pipeline/21_figures_extended.R,active,Render absolute levels labelled heterogeneity measurement capability-failure and prompt-distribution figures without estimation,c04 c05 c09 c11 c23-c25 c27 c22-c22d,ED1-ED14 PNG files,false,paper,docs/r_pipeline/21_figures_extended.md
30,pipeline/30_acceptance.R,active,Enforce v2.4 analytical and release contracts,release estimates and figures,c01b acceptance table,false,release gate,docs/r_pipeline/30_acceptance.md
40,pipeline/40_appendix_descriptives.R,active,Produce v2.4 appendix descriptions,canonical response table,a01-a04 tables,false,appendix,docs/r_pipeline/40_appendix_descriptives.md
orders,pipeline/_orders.R,active,Freeze categorical display and analysis orderings,none,shared constants,false,all figures,docs/r_pipeline/_orders.md
validity-helper,pipeline/_response_validity.R,active,Verify and attach the final v2.4 table,final_annotations.parquet,joined in-memory fields,false,01 and 10,docs/r_pipeline/_response_validity.md
theme,pipeline/_theme.R,active,Freeze publication graphics and PNG export contract,none,shared figure functions,false,20 and 21,docs/r_pipeline/_theme.md
expansion-input,pipeline/_expansion_input.R,active,Verify and append the nine completed expansion-model Luna v2.4 batches,five expansion response-index result manifest and run-summary sets,combined 249201-row analysis frame,false,01 and 10,docs/r_pipeline/_expansion_input.md
figure-audit,pipeline/audit_figures.R,active,Audit raster inventory layout and table-figure agreement,release estimates and figures,pass or nonzero exit,false,release gate,docs/r_pipeline/audit_figures.md
release,pipeline/make_release.R,active,Build immutable nonexternal releases,registered active stages,release manifest and optional promotion,false,release,docs/r_pipeline/make_release.md
synthetic-tests,pipeline/tests_synthetic.R,active,Test v2.4 outcome and estimator contracts,synthetic fixtures and frozen local outcome table,pass or nonzero exit,false,development gate,docs/r_pipeline/tests_synthetic.md
pending-02,pipeline/pending/02_original_judge_reliability.R,pending,Original Gemini and panel-judge reliability only,original panel annotations,e22-e28 historical tables,false,none,docs/r_pipeline/pending/02_original_judge_reliability.md
pending-13,pipeline/pending/13_slant_moral_content.R,pending,Slant and moral-foundation analyses awaiting adopted outcomes,original pass-2 and pass-3 annotations,c12-c16 and c19 historical tables,false,none,docs/r_pipeline/pending/13_slant_moral_content.md
pending-14,pipeline/pending/14_original_judge_uncertainty.R,pending,Original-label judge sensitivity awaiting a v2.4 multi-judge design,original panel labels,c17 historical tables,false,none,docs/r_pipeline/pending/14_original_judge_uncertainty.md
pending-15,pipeline/pending/15_mixed_outcome_subsample_stability.R,pending,Mixed pre-v2.4 stability including unsupported content outcomes,original canonical frame,c21 historical tables,false,none,docs/r_pipeline/pending/15_mixed_outcome_subsample_stability.md
pending-20,pipeline/pending/20_mixed_pre_v24_figures_main.R,pending,Mixed main figures including unsupported content outcomes,pre-v2.4 tables,old Fig1-Fig3,false,none,docs/r_pipeline/pending/20_mixed_pre_v24_figures_main.md
pending-21,pipeline/pending/21_mixed_pre_v24_figures_extended.R,pending,Mixed Extended Data including unsupported content outcomes,pre-v2.4 tables,old ED1-ED10,false,none,docs/r_pipeline/pending/21_mixed_pre_v24_figures_extended.md
pending-40,pipeline/pending/40_original_label_appendix.R,pending,Original engagement and justification appendices,original Gemini fields,old a01-a04,false,none,docs/r_pipeline/pending/40_original_label_appendix.md
validity-cli,scripts/response_validity.py,active,Guarded response-validity provenance and production entry point,versioned manifests and local inputs,final Luna v2.4 assembly,guarded by subcommand,future measurement versions,docs/RESPONSE_VALIDITY_TECHNICAL_PIPELINE.md
