model,prompt_language,task_behavior,n,share,n_cell,source,canonical_run_id
allam-7b,ar,coherent_pivot,188,0.07532051282051282,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ar,complete,494,0.19791666666666666,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ar,functionally_complete,75,0.030048076923076924,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ar,no_substantive_output,159,0.06370192307692307,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ar,opposite_position,86,0.03445512820512821,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ar,partial,1491,0.5973557692307693,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ar,unassessable,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,coherent_pivot,137,0.05488782051282051,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,complete,1020,0.40865384615384615,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,functionally_complete,124,0.049679487179487176,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,no_substantive_output,61,0.024439102564102564,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,opposite_position,118,0.047275641025641024,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,partial,1033,0.41386217948717946,2496,Luna v2.4 task_behavior,canon_019
allam-7b,en,unassessable,3,0.001201923076923077,2496,Luna v2.4 task_behavior,canon_019
allam-7b,hi,coherent_pivot,8,0.0032064128256513026,2495,Luna v2.4 task_behavior,canon_019
allam-7b,hi,complete,1,4.008016032064128e-4,2495,Luna v2.4 task_behavior,canon_019
allam-7b,hi,functionally_complete,2,0.00080160320641282565,2495,Luna v2.4 task_behavior,canon_019
allam-7b,hi,no_substantive_output,1780,0.7134268537074149,2495,Luna v2.4 task_behavior,canon_019
allam-7b,hi,opposite_position,32,0.01282565130260521,2495,Luna v2.4 task_behavior,canon_019
allam-7b,hi,partial,591,0.23687374749499,2495,Luna v2.4 task_behavior,canon_019
allam-7b,hi,unassessable,81,0.03246492985971944,2495,Luna v2.4 task_behavior,canon_019
allam-7b,ru,coherent_pivot,5,0.002003205128205128,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ru,complete,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ru,functionally_complete,2,8.012820512820513e-4,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ru,no_substantive_output,1460,0.5849358974358975,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ru,opposite_position,19,0.007612179487179487,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ru,partial,976,0.391025641025641,2496,Luna v2.4 task_behavior,canon_019
allam-7b,ru,unassessable,26,0.010416666666666666,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,coherent_pivot,24,0.009615384615384616,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,complete,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,functionally_complete,8,0.003205128205128205,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,no_substantive_output,708,0.28365384615384615,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,opposite_position,39,0.015625,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,partial,1680,0.6730769230769231,2496,Luna v2.4 task_behavior,canon_019
allam-7b,zh,unassessable,9,0.003605769230769231,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ar,coherent_pivot,30,0.01201923076923077,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ar,complete,2199,0.8810096153846154,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ar,functionally_complete,110,0.044070512820512824,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ar,no_substantive_output,15,0.006009615384615385,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ar,opposite_position,26,0.010416666666666666,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,ar,partial,116,0.046474358974358976,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,en,coherent_pivot,28,0.011217948717948718,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,en,complete,2074,0.8309294871794872,2496,Luna v2.4 task_behavior,canon_019
claude-opus-4.5,en,functionally_complete,227,0.09094551282051282,2496,Luna v2.4 task_behavior,canon_019
