unit,prompt_id,prompt_language,model,n_judges,n_refused,refused_majority,refused_unanimous,refused_any,status,majority_vote_used_anywhere,canonical_run_id
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|allam-7b,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,allam-7b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|claude-opus-4.5,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,claude-opus-4.5,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|deepseek-chat-v3.1,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,deepseek-chat-v3.1,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|falcon3-10b,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,falcon3-10b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|gpt-4o,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,gpt-4o,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|gpt-5.1,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,gpt-5.1,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|grok-4.3,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,grok-4.3,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|jais-8b,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,jais-8b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|mistral-large-2512,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,mistral-large-2512,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|qwen3-max,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,qwen3-max,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndA|en|sarvam-30b,issue_1953_iranian_coup_d_tat_Q593774__bndA,en,sarvam-30b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|allam-7b,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,allam-7b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|claude-opus-4.5,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,claude-opus-4.5,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|deepseek-chat-v3.1,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,deepseek-chat-v3.1,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|falcon3-10b,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,falcon3-10b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|gpt-4o,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,gpt-4o,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|gpt-5.1,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,gpt-5.1,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|grok-4.3,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,grok-4.3,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|jais-8b,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,jais-8b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|mistral-large-2512,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,mistral-large-2512,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|qwen3-max,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,qwen3-max,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
issue_1953_iranian_coup_d_tat_Q593774__bndB|en|sarvam-30b,issue_1953_iranian_coup_d_tat_Q593774__bndB,en,sarvam-30b,4,0,0,0,0,UNUSED DIAGNOSTIC: no canonical estimator reads this file,FALSE,canon_009
