model,prompt_language,refusal_type,n,share,n_refusals,conditioning,note,canonical_run_id
allam-7b,ar,explicit,24,0.19047619047619047,126,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,ar,implicit,102,0.8095238095238095,126,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,en,explicit,76,0.4418604651162791,172,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,en,implicit,96,0.5581395348837209,172,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,hi,implicit,1,1,1,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,ru,implicit,4,1,4,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,zh,explicit,3,0.375,8,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
allam-7b,zh,implicit,5,0.625,8,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,ar,explicit,77,0.6363636363636364,121,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,ar,implicit,44,0.36363636363636365,121,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,en,explicit,56,0.5283018867924528,106,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,en,implicit,50,0.4716981132075472,106,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,hi,explicit,229,0.8841698841698842,259,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,hi,implicit,30,0.11583011583011583,259,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,ru,explicit,81,0.7105263157894737,114,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,ru,implicit,33,0.2894736842105263,114,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,zh,explicit,97,0.7698412698412699,126,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
claude-opus-4.5,zh,implicit,29,0.23015873015873015,126,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,ar,explicit,153,0.7320574162679426,209,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,ar,implicit,56,0.2679425837320574,209,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,en,explicit,51,0.6144578313253012,83,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,en,implicit,32,0.3855421686746988,83,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,hi,explicit,68,0.5528455284552846,123,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,hi,implicit,55,0.44715447154471544,123,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,ru,explicit,142,0.7357512953367875,193,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,ru,implicit,51,0.26424870466321243,193,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,zh,explicit,210,0.6287425149700598,334,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
deepseek-chat-v3.1,zh,implicit,124,0.3712574850299401,334,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,ar,explicit,2,0.2857142857142857,7,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,ar,implicit,5,0.7142857142857143,7,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,en,explicit,44,0.6666666666666666,66,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,en,implicit,22,0.3333333333333333,66,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,hi,explicit,1,0.16666666666666666,6,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,hi,implicit,5,0.8333333333333334,6,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,ru,explicit,39,0.5735294117647058,68,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
falcon3-10b,ru,implicit,29,0.4264705882352941,68,genuine_refusal == 1,descriptive composition; not an independently validated reason taxonomy,canon_019
