original_path,new_path,action,classification,reason,evidence,upstream_creator,downstream_references,sha256_before,sha256_after,size_bytes,reproducible,contains_unique_evidence,tracked_status,applied
.DS_Store,/tmp/refusal_audit_v2_cleanup_2026-09-01/.DS_Store,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,db600e95010234c6543844bc6546406b00106b2ce8592b34c5d67ea99cff5f30,db600e95010234c6543844bc6546406b00106b2ce8592b34c5d67ea99cff5f30,6148,true,false,ignored_or_untracked,true
MANIFEST.md,archive/2026-09-01_pre_rationalization/MANIFEST.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,b402232436a452ff8afde1d1a4d2d6228b4587621b951b7c0a49eb6f71694b01,b402232436a452ff8afde1d1a4d2d6228b4587621b951b7c0a49eb6f71694b01,6454,true,true,tracked,true
Rplots.pdf,/tmp/refusal_audit_v2_cleanup_2026-09-01/Rplots.pdf,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,378df3d7a122e68468497813fd4c705448307b8c974db840b2fcb926d26c4255,378df3d7a122e68468497813fd4c705448307b8c974db840b2fcb926d26c4255,3831,true,false,ignored_or_untracked,true
data/.DS_Store,/tmp/refusal_audit_v2_cleanup_2026-09-01/data/.DS_Store,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,6148,true,false,ignored_or_untracked,true
data/issue_records_rebalanced.jsonl.pre_idfix,archive/2026-09-01_pre_rationalization/data/issue_records_rebalanced.jsonl.pre_idfix,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,fbbdb4030652236523e784436bce1128e26a05a46f9696f89136a5b633d7874e,fbbdb4030652236523e784436bce1128e26a05a46f9696f89136a5b633d7874e,6834262,varies,true,ignored_or_untracked,true
data/issue_records_rebalanced.jsonl.pre_provenance_recovery,archive/2026-09-01_pre_rationalization/data/issue_records_rebalanced.jsonl.pre_provenance_recovery,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,a73435b5fa24c7d28b11690d36ccbb56feada59765927fc71b5b41651a786465,a73435b5fa24c7d28b11690d36ccbb56feada59765927fc71b5b41651a786465,6859250,varies,true,ignored_or_untracked,true
docs/ANALYTICAL_AUDIT.md,archive/2026-09-01_pre_rationalization/docs/ANALYTICAL_AUDIT.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,ffba7ee284e46468acad16c9dc83c4a22da1bf075030961d881a9b1610755aa4,ffba7ee284e46468acad16c9dc83c4a22da1bf075030961d881a9b1610755aa4,12203,true,true,tracked,true
docs/CODEBASE_RATIONALIZATION.md,archive/2026-09-01_pre_rationalization/docs/CODEBASE_RATIONALIZATION.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,3875bdb67257ce393ca213ca39c6fdd5ddae33b53a3a6c925a933dece074784b,3875bdb67257ce393ca213ca39c6fdd5ddae33b53a3a6c925a933dece074784b,4942,true,true,ignored_or_untracked,true
docs/EXPANSION_RU_MENA.md,archive/2026-09-01_pre_rationalization/docs/EXPANSION_RU_MENA.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,fb6f09a508162defb578cf176e573c1b12ce5e1af73c3037e66a9b41e60c8d56,fb6f09a508162defb578cf176e573c1b12ce5e1af73c3037e66a9b41e60c8d56,9191,true,true,tracked,true
docs/EXTERNAL_REFUSAL_DISAGREEMENT_REVIEW.md,archive/2026-09-01_pre_rationalization/docs/EXTERNAL_REFUSAL_DISAGREEMENT_REVIEW.md,archive,historical_provenance,Superseded or completed provenance removed from the live interface.,Historical documentation/code or pre-repair artifact; retained by hash in dated archive.,documented in artifact registry or file header,must be repaired after move,19846089c1b87c87ff20507747636db75496710eb75287c928f2ec22b90846cd,19846089c1b87c87ff20507747636db75496710eb75287c928f2ec22b90846cd,6179,true,true,ignored_or_untracked,true
