prompt_id,prompt_language,model,issue_id,region_focus,jurisdiction,topic_domain,tier,battery,engagement_code,code,code_label,reason_group,n_chars,neighbour_purity,neighbour_purity_group,neighbour_purity_group_projection,umap_x,umap_y,seed,n_neighbors,min_dist,metric,representation,encoder,max_chars,purity_k,purity_space,purity_observed,purity_baseline,purity_group_observed,purity_group_baseline,purity_group_projection,st_revision,truncation_sensitivity
issue_jammu_and_kashmir_union_territory_Q66278313__reg1,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,G,G other,other,7380,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.39579335,0.37338096,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,allam-7b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,2022,0.4,0.4,0.4666666666666667,-7.5492716,-2.5859423,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_jammu_and_kashmir_union_territory_Q66278313__reg2,en,falcon3-10b,issue_jammu_and_kashmir_union_territory_Q66278313,India,India,territorial_sovereignty,regular,rebalanced,4,A,A neutrality,neutrality,691,0.7333333333333333,0.7333333333333333,0.8,0.31125504,0.43286356,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_gaza_genocide_Q124086054__reg1,en,gpt-4o,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2536,0.9333333333333333,0.9333333333333333,0.5333333333333333,-3.63782,-1.696467,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_gaza_genocide_Q124086054__reg2,en,allam-7b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,2477,0.8666666666666667,0.8666666666666667,0.8666666666666667,-4.19722,-1.5397949,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_gaza_genocide_Q124086054__reg1,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,384,0.7333333333333333,0.7333333333333333,0.26666666666666666,-3.3753471,-1.432738,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_gaza_genocide_Q124086054__reg2,en,falcon3-10b,issue_gaza_genocide_Q124086054,Arab,MENA,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1040,0.8666666666666667,0.8666666666666667,0.4666666666666667,-3.889924,-1.563607,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_human_rights_in_the_kurdistan_region_Q16958133__reg2,en,allam-7b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,G,G other,other,1834,0.2,0.2,0.6,-6.2434225,-2.3355436,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_nato_Q7184__reg2,en,allam-7b,issue_nato_Q7184,Europe,EU,security_conflict,regular,rebalanced,4,A,A neutrality,neutrality,1545,0.8666666666666667,0.8666666666666667,0.7333333333333333,-7.01114,-2.7874038,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
issue_human_rights_in_the_kurdistan_region_Q16958133__reg1,en,falcon3-10b,issue_human_rights_in_the_kurdistan_region_Q16958133,Arab,MENA,civil_rights_liberties,regular,rebalanced,4,A,A neutrality,neutrality,1420,0.6,0.6,0.4666666666666667,-6.241265,-2.2797663,20260807,25,0.08,cosine,sbert:paraphrase-multilingual-MiniLM-L12-v2@rev=main@800chars,semantic,800,15,original embedding space (not the 2-D projection),0.565,0.439,0.5652,0.4392,0.5308,main,400:0.5682;800:0.5652;1600:0.5652
