model,jurisdiction,home_language,language_label,n,events,raw_rate,estimate,conf_low,conf_high,estimable,defined,not_generated,note
allam-7b,MENA,ar,Arabic,2496,416,0.16666666666666682,-0.003973540727633423,-0.024112926239931644,0.015528453234537486,TRUE,TRUE,FALSE,
claude-opus-4.5,US,en,English,2496,100,0.04006410256410285,0,0,0,FALSE,FALSE,FALSE,English IS this jurisdiction's home language; no contrast exists
deepseek-chat-v3.1,CN,zh,Chinese,2496,407,0.16306089743589713,0.11197029127015173,0.09482583989663351,0.12954440811322077,TRUE,TRUE,FALSE,
falcon3-10b,MENA,ar,Arabic,2496,757,0.3032852564102572,0.2413347905991289,0.22161281321993312,0.26264256521283896,TRUE,TRUE,FALSE,
gpt-4o,US,en,English,2495,55,0.02204408817635203,0,0,0,FALSE,FALSE,FALSE,English IS this jurisdiction's home language; no contrast exists
gpt-5.1,US,en,English,2496,104,0.041666666666665984,0,0,0,FALSE,FALSE,FALSE,English IS this jurisdiction's home language; no contrast exists
grok-4.3,US,en,English,2496,51,0.020432692307692256,0,0,0,FALSE,FALSE,FALSE,English IS this jurisdiction's home language; no contrast exists
jais-8b,MENA,ar,Arabic,2496,88,0.03525641025641018,0.010714562609092548,0.002701754084617003,0.020218213575876397,TRUE,TRUE,FALSE,
mistral-large-2512,EU,en,English,2496,0,0,NA,NA,NA,FALSE,FALSE,FALSE,English IS this jurisdiction's home language; no contrast exists
qwen3-max,CN,zh,Chinese,2496,164,0.06570512820512854,-0.007162954858420237,-0.017631220602460897,0.0034695393602726557,TRUE,TRUE,FALSE,
sarvam-30b,India,hi,Hindi,2456,18,0.007328990228013126,-0.04810730094876965,-0.05839399018551919,-0.038771776329611374,TRUE,TRUE,FALSE,
