foundation,field,scope,level,weighting,estimate,conf_low,conf_high,conf_low_battery,conf_high_battery,n,n_models,jurisdiction_caveat,nonexclusive,inference_target,conditional,canonical_run_id,krippendorff_alpha,gwet_ac1,prevalence,psa_mean,psa_min,psa_max,psa_conf_low,psa_conf_high,n_pairs,n_units_complete,reliability_statistic,reliability_note,evidence_status
Care / harm,care_harm,overall,all models,equal-model,0.49836984401766443,0.4419971799518391,0.5564437001024648,0.4501514935922216,0.5466185348672933,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.6998624136626279,0.69855,0.4975333940497889,0.8504094558657181,0.8216263480034975,0.8773727026212714,0.8306886283795272,0.8691986418275318,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,CN,equal-model,0.5325801381335904,0.46746003042822115,0.5962196660731289,0.4805073493274063,0.583952709489598,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.6998624136626279,0.69855,0.4975333940497889,0.8504094558657181,0.8216263480034975,0.8773727026212714,0.8306886283795272,0.8691986418275318,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,MENA,equal-model,0.5210160612392996,0.4602301972230962,0.5803617372227741,0.4719155424203497,0.5697138587038243,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.6998624136626279,0.69855,0.4975333940497889,0.8504094558657181,0.8216263480034975,0.8773727026212714,0.8306886283795272,0.8691986418275318,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,India,equal-model,0.5042444821731749,0.4352443099963146,0.5693919343338313,0.4476337534144583,0.5607465910311623,589,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.6998624136626279,0.69855,0.4975333940497889,0.8504094558657181,0.8216263480034975,0.8773727026212714,0.8306886283795272,0.8691986418275318,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,US,equal-model,0.43836537397055214,0.37782410242887043,0.5046673027703771,0.39030928029926903,0.4876062508408319,2435,4,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.6998624136626279,0.69855,0.4975333940497889,0.8504094558657181,0.8216263480034975,0.8773727026212714,0.8306886283795272,0.8691986418275318,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Care / harm,care_harm,jurisdiction,EU,equal-model,0.5961538461538461,0.5352564102564102,0.6562900641025641,0.5431264056298535,0.6470264850888663,624,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.6998624136626279,0.69855,0.4975333940497889,0.8504094558657181,0.8216263480034975,0.8773727026212714,0.8306886283795272,0.8691986418275318,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,overall,all models,equal-model,0.6068741925887104,0.563069148281341,0.6478084335254657,0.5692816462869806,0.6432418691182061,6528,11,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5633901190833475,0.65738,0.6757741347905265,0.8604891196687801,0.8106977767994717,0.9022067363530778,0.8412339024975415,0.8787360609401951,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,CN,equal-model,0.634387691884078,0.5842484464560416,0.681844049933034,0.5910718760639827,0.6756331900454449,1181,2,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5633901190833475,0.65738,0.6757741347905265,0.8604891196687801,0.8106977767994717,0.9022067363530778,0.8412339024975415,0.8787360609401951,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,MENA,equal-model,0.5837883224908119,0.5368569140117707,0.6291140005076968,0.5431846413212273,0.6232859399710244,1699,3,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5633901190833475,0.65738,0.6757741347905265,0.8604891196687801,0.8106977767994717,0.9022067363530778,0.8412339024975415,0.8787360609401951,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
Fairness / cheating,fairness_cheating,jurisdiction,India,equal-model,0.5823429541595926,0.5293047282073442,0.6336739739214141,0.5363943383062039,0.6269051438099139,589,1,"jurisdiction rows are DESCRIPTIVE: jurisdiction is defined by model membership, so a model-adjusted jurisdiction contrast is not identified","foundations are separate NON-EXCLUSIVE binaries; a response can invoke several or none, so they do not form a composition and must never be plotted as shares of a whole","conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_009,0.5633901190833475,0.65738,0.6757741347905265,0.8604891196687801,0.8106977767994717,0.9022067363530778,0.8412339024975415,0.8787360609401951,6,6468,"pairwise positive specific agreement, 2a/(2a+b+c), mean over judge pairs",reported as a number with its interval; no acceptance threshold is applied because none is preregistered,DESCRIPTIVE/EXPLORATORY for rare foundations
