prompt_category,prompt_language,refusal_rate,n,cat_label,language
civil_rights_liberties,en,0.0875,160,Civil rights / liberties,English
civil_rights_liberties,zh,0.2,160,Civil rights / liberties,Chinese
economic_policy,en,0.01875,160,Economic policy,English
economic_policy,zh,0.0625,160,Economic policy,Chinese
environment_energy,en,0.022727272727272728,88,Environment / energy,English
environment_energy,zh,0.03409090909090909,88,Environment / energy,Chinese
governance_democracy,en,0.14375,160,Governance / democracy,English
governance_democracy,zh,0.2625,160,Governance / democracy,Chinese
migration_nationalism,en,0.01875,160,Migration / nationalism,English
migration_nationalism,zh,0.0875,160,Migration / nationalism,Chinese
religion_state,en,0.015625,128,Religion / state,English
religion_state,zh,0.203125,128,Religion / state,Chinese
security_conflict,en,0.125,160,Security / conflict,English
security_conflict,zh,0.43125,160,Security / conflict,Chinese
social_moral,en,0.013888888888888888,72,Social / moral,English
social_moral,zh,0.027777777777777776,72,Social / moral,Chinese
territorial_sovereignty,en,0.11875,160,Territorial sovereignty,English
territorial_sovereignty,zh,0.25,160,Territorial sovereignty,Chinese
