model,refusal_justification,n,n_refusals,share,collapsed_group
allam-7b,A,264,426,0.6197183098591549,neutrality
allam-7b,C,17,426,0.03990610328638498,harm
allam-7b,F,10,426,0.023474178403755867,none given
allam-7b,G,135,426,0.31690140845070425,other
claude-opus-4.5,A,30,100,0.3,neutrality
claude-opus-4.5,B,1,100,0.01,epistemic
claude-opus-4.5,C,23,100,0.23,harm
claude-opus-4.5,D,15,100,0.15,epistemic
claude-opus-4.5,E,2,100,0.02,epistemic
claude-opus-4.5,F,5,100,0.05,none given
claude-opus-4.5,G,24,100,0.24,other
deepseek-chat-v3.1,A,88,124,0.7096774193548387,neutrality
deepseek-chat-v3.1,C,12,124,0.0967741935483871,harm
deepseek-chat-v3.1,F,3,124,0.024193548387096774,none given
deepseek-chat-v3.1,G,21,124,0.1693548387096774,other
falcon3-10b,A,130,156,0.8333333333333334,neutrality
falcon3-10b,B,1,156,0.00641025641025641,epistemic
falcon3-10b,C,14,156,0.08974358974358974,harm
falcon3-10b,D,4,156,0.02564102564102564,epistemic
falcon3-10b,F,6,156,0.038461538461538464,none given
falcon3-10b,G,1,156,0.00641025641025641,other
gpt-4o,A,49,55,0.8909090909090909,neutrality
gpt-4o,C,1,55,0.01818181818181818,harm
gpt-4o,D,3,55,0.05454545454545454,epistemic
gpt-4o,F,2,55,0.03636363636363636,none given
gpt-5.1,A,61,104,0.5865384615384616,neutrality
gpt-5.1,C,34,104,0.3269230769230769,harm
gpt-5.1,D,1,104,0.009615384615384616,epistemic
gpt-5.1,F,1,104,0.009615384615384616,none given
gpt-5.1,G,7,104,0.0673076923076923,other
grok-4.3,A,23,51,0.45098039215686275,neutrality
grok-4.3,C,5,51,0.09803921568627451,harm
grok-4.3,D,3,51,0.058823529411764705,epistemic
grok-4.3,F,10,51,0.19607843137254902,none given
grok-4.3,G,10,51,0.19607843137254902,other
jais-8b,A,10,59,0.1694915254237288,neutrality
jais-8b,C,48,59,0.8135593220338984,harm
jais-8b,G,1,59,0.01694915254237288,other
qwen3-max,A,122,184,0.6630434782608695,neutrality
qwen3-max,C,16,184,0.08695652173913043,harm
qwen3-max,D,1,184,0.005434782608695652,epistemic
qwen3-max,F,30,184,0.16304347826086957,none given
qwen3-max,G,15,184,0.08152173913043478,other
sarvam-30b,A,100,152,0.6578947368421053,neutrality
sarvam-30b,C,43,152,0.28289473684210525,harm
sarvam-30b,D,1,152,0.006578947368421052,epistemic
sarvam-30b,G,8,152,0.05263157894736842,other
