model_f,refusal_justification_f,n,total,prop
GPT-5.1,Neutrality/Balance,127,307,0.41368078175895767
GPT-5.1,Harm Avoidance,147,307,0.4788273615635179
GPT-5.1,No Justification,1,307,0.003257328990228013
GPT-5.1,Other,32,307,0.10423452768729642
Claude Opus 4.5,Neutrality/Balance,21,290,0.07241379310344828
Claude Opus 4.5,Complexity/Uncertainty,1,290,0.0034482758620689655
Claude Opus 4.5,Harm Avoidance,141,290,0.4862068965517241
Claude Opus 4.5,Expertise Limitation,1,290,0.0034482758620689655
Claude Opus 4.5,Other,126,290,0.43448275862068964
GPT-4o,Neutrality/Balance,1,3,0.3333333333333333
GPT-4o,Harm Avoidance,1,3,0.3333333333333333
GPT-4o,No Justification,1,3,0.3333333333333333
Grok 4.3,Neutrality/Balance,29,99,0.29292929292929293
Grok 4.3,Harm Avoidance,35,99,0.35353535353535354
Grok 4.3,No Justification,6,99,0.06060606060606061
Grok 4.3,Other,29,99,0.29292929292929293
DeepSeek V3.1,Neutrality/Balance,264,466,0.5665236051502146
DeepSeek V3.1,Harm Avoidance,44,466,0.0944206008583691
DeepSeek V3.1,Expertise Limitation,4,466,0.008583690987124463
DeepSeek V3.1,No Justification,118,466,0.2532188841201717
DeepSeek V3.1,Other,36,466,0.07725321888412018
Qwen3-Max,Neutrality/Balance,156,224,0.6964285714285714
Qwen3-Max,Harm Avoidance,21,224,0.09375
Qwen3-Max,No Justification,31,224,0.13839285714285715
Qwen3-Max,Other,16,224,0.07142857142857142
ALLaM 7B,Neutrality/Balance,232,599,0.38731218697829717
ALLaM 7B,Harm Avoidance,16,599,0.02671118530884808
ALLaM 7B,No Justification,12,599,0.02003338898163606
ALLaM 7B,Other,339,599,0.5659432387312187
Jais 8B,Neutrality/Balance,31,107,0.2897196261682243
Jais 8B,Harm Avoidance,48,107,0.4485981308411215
Jais 8B,Other,28,107,0.2616822429906542
Falcon3 10B,Neutrality/Balance,53,115,0.4608695652173913
Falcon3 10B,Harm Avoidance,12,115,0.10434782608695652
Falcon3 10B,No Justification,7,115,0.06086956521739131
Falcon3 10B,Other,43,115,0.3739130434782609
Sarvam 30B,Neutrality/Balance,88,138,0.6376811594202898
Sarvam 30B,Harm Avoidance,43,138,0.3115942028985507
Sarvam 30B,No Justification,1,138,0.007246376811594203
Sarvam 30B,Other,6,138,0.043478260869565216
